name,category,subcategory,website,url,description,contact_person,email,phone,location
Vuzix,VR Hardware,VR HMD,http://www.vuzix.com/,http://www.vrmeister.com/vuzix/,"Vuzix is a leading developer and supplier of smart glasses and video eyewear products in the consumer, enterprise and industrial markets.
The company’s products – personal display devices that offer users a portable high quality viewing experience – provide solutions for mobility, wearable displays and virtual and augmented reality. Vuzix holds over 41 patents and 10 additional patents pending.
The company has won 20 Consumer Electronics Show Innovations awards (including 4 for CES 2015), with select products being the world’s best-innovation in their category.
Founded in 1997, Vuzix is a Nasdaq listed company (Nasdaq: VUZI) with offices in Rochester, NY, Oxford, UK and Tokyo, Japan.
In January 2015, Vuzix received a $24.8 million investment from Intel Corporation to be used as general working capital to accelerate the introduction of Vuzix next generation fashion-based wearable display products into the consumer market.
Mid December 2015 Vuzix started to ship the “iWear Video Headphones”
 ",,,585.359.5900,United States
3Glasses,VR Hardware,VR HMD,http://the3glasses.com/usd/,http://www.vrmeister.com/3glasses/,"Virtual Reality (VR) Technology Limited focuses on the research and development of smart wearable devices featuring virtual reality and augmented reality, with over 10 years of experience in the creation of virtual reality technology. We’re one of the first established companies in China in the Virtual Reality industry.
In June 2015, we hosted the “Borderless” (“境·无止境”) product release press conference, introducing the first mass-produced 2K Virtual Reality headset to the world: 3Glasses D2.
In July 2014, at the twelfth ChinaJoy Expo & Conference, in collaboration with Unity, 3Glasses officially debuted. We carried out street surveys with over 8000 people and were critically acclaimed.
Advanced Technology
Our technology has been developed with over 200 successful VR application cases, covering over 12 industries such as construction, design, and travel. We also own 46 VR industry patents.
Culture
Driven by our dream – to give everyone the ability to experience the magic of visual reality
Driven by our pursuit of perfection – to create a premium product with our detailed craftsmanship
Driven by our dedication – 23 months, 702 days, 16848 hours of R&D & testing
Driven by our mission – to share China’s VR technology with the world
Our Advantage
Mastering the latest VR technologies
Constant product updates
Consistent product quality
Comprehensive after-sales support
State of the art VR displays and optics
www.the3glasses.com Support",,cs@3glasses.eservicesgroup.com,,China
Ehang,VR Hardware,VR HMD,http://www.ehang.com/en/index.html,http://www.vrmeister.com/1034-2/,"EHang, Inc. is an innovative, technology oriented, enterprise that is specializing in smart drone R&D, manufacturing and sales. We develop the easiest drone to fly in the world and are hoping to make drones accessible to everyone.
The engineers at EHang are passionate about the union of hardware and software when bringing new models of aircrafts to life. We self-develop the original flight controller with an accurate algorithm, which utilizes a unique way of App, control. EHang created a revolutionary user experience which changes the drone industry’s traditional way of RC control. This operation is simple and intuitive, thus anyone can enjoy flying a drone. Moreover, EHang looks forward to developing more functional applications based on mobile internet in the future.
These innovative drone products developed by EHang can be widely adopted in different industries including; filming，landscape mapping, news gathering, energy resource survey, search & rescue, investigation & monitoring, logistics and so on.
Founded in April, 2014, EHang’s headquarters are located in Guangzhou, China. Including other branches in Beijing, Shanghai and San Francisco, EHang has over 150 employees. The founding team members are from top institutions, such as Tsinghua University, Duke University, Massachusetts Institute of Technology & University of California, Los Angeles. Several high level managerial talents have also joined EHang from international listed companies including 21Vianet Group, Lenovo & Microsoft, making it a dream company aiming to innovate the future.
Taking the advantages of simple, smart and Internet connectability, EHang’s smart drone products GHOSTDRONE has been sold to 70 countries and areas across the world. Within 16 months EHang raised a $10 million series A and $42 million series B, resulting in 100x growth in valuation, and becoming the fastest growing & greatest potential dark horse in the drone industry.
EHang was also rated one of the top 50 innovative Chinese companies in 2014 by Fast Company business magazine and won Best Drone award at CES 2015. As the new era of intelligence is coming, EHang will strive to show the power of “Made in China”to the world.
Apps at: Google Play or App Store",,support@ehang.com,+1 650-533-8554,China
AuraVisor,VR Hardware,VR HMD,http://auravisor.com/,http://www.vrmeister.com/auravisor/,"Currently on Kickstarter
A virtual reality head mounted computer (HMC) that works without a computer or smartphone. Its on-board Android based computer allows you to break free from cables and other devices and experience virtual reality, and all it offers, without breaking the budget.
Virtual reality finally hits the mainstream.
Developing AuraVisor means virtual reality is now available for everyone, aimed at casual & pro gamers, intrepid explorers and experience junkies. The AuraVisor can be used straight from the box and doesn’t require any specialist knowledge. Thanks to the stereoscopic vision you can also view any 2D movies or TV programmes in real 3D.",James Talbot,,,United Kingdom
Magic Leap,VR Hardware,VR HMD,http://www.magicleap.com/,http://www.vrmeister.com/magic-leap/,"We know what you’re thinking: “Who the heck are we? What is this all about? Why aren’t you saying more?” And you’re right, we need to say a little more about what it is we’re creating.
So what is Magic Leap?
Magic Leap is an idea.
An idea that computing should be shaped and forged to work for us: our life, our physiology, our connected relationships. That exploring human creativity is as great an adventure as exploring space.
It’s an idea based in the belief that people should not have to choose between technology or safety, technology or privacy, the virtual world or the real world.
This belief was born from two simple observations:
That current technologies we use to access the digital world limit, or even take us away, from the real world.
That the future of computing should be derived from respecting human biology, physiology, creativity, and community. Why can’t computing feel completely natural?
With our founding principles our team dug deep into the physics of the visual world, and dug deep into the physics and processes of our visual and sensory perception. We created something new. We call it a Dynamic Digitized Lightfield Signal™ (you can call it a Digital Lightfield™). It is biomimetic, meaning it respects how we function naturally as humans (we are humans after all, not machines).
In time, we began adding a number of other technologies to our Digital Lightfield: hardware, software, sensors, core processors, and a few things that just need to remain a mystery. The result of this combination enabled our technology to deliver experiences that are so unique, so unexpected, so never-been-seen-before, they can only be described as magical.
We are building a world-class team of experience developers, and are reaching out to application wizards, game developers, story-tellers, musicians, and artists who are motivated by just wanting to make cool stuff.
It is all coming together in a pretty awesome way. And we hope to share it with you very soon.
So now what?
We’ll be sharing more information with you in the weeks and months ahead – so stay tuned. In the meantime, thank you for your interest in Magic Leap. We can’t wait to show you what we’ve been up to…",,info@magicleap.com,,United States
VRVana,VR Hardware,VR HMD,http://www.vrvana.com/,http://www.vrmeister.com/vrvana/,"Vrvana is the brainchild of gamer and engineer Bertrand Nepveu. Totem was designed with robust technology and user comfort in mind. Back in 2005, it all started as a personal quest to improve his video gaming experience.
With an expanded team of software and hardware engineers and 5 prototype versions completed, they have a product that’s ready for developers to begin using to create outstanding 3D VR experiences.",,info@vrvana.com,,Canada
Sulon Technologies,VR Hardware,VR HMD,http://www.sulontechnologies.com/,http://www.vrmeister.com/sulon-technologies/,"Sulon Technologies is a startup founded in 2012 by CEO, Dhan Balachand, from Toronto, Canada. The company’s first product is the Cortex – a spatially aware computing platform. The Cortex headset presents a new and unique way to experience the real world around us.
Sulon’s goal is to enhance the way we experience our world, by using proprietary technology to combine virtual and augmented reality across a number of industries.",,info@sulontechnologies.com,+1 905-604-5053,Canada
Razer,VR Hardware,VR HMD,http://www.razerzone.com/osvr,http://www.vrmeister.com/razer-osvr/,"Razer is part of the Open-Source Virtual Reality (OSVR) ecosystem, a new standard in VR gaming to push the VR gaming experience forward and supporting the venture with the OSVR Hacker Dev Kit, a virtual reality device and open-source software that enables programming for any variety of VR technology.
  WHAT IS OSVR?
OSVR™ stands for Open Source Virtual Reality. It is an ecosystem designed from the ground up to set an open standard for Virtual Reality input devices, games and output with the sole goal of providing the best possible game experience in the Virtual Reality space. Supported by Industry Leaders and focused on gaming, the OSVR framework rallies gamers worldwide together to push the boundaries of VR-Gaming",,,+1 (760) 579 0180,United States
Mindmaze,VR Hardware,VR HMD,http://www.mindmaze.ch/vr/,http://www.vrmeister.com/mindmaze/,"MindMaze is a spin off from the Swiss Federal Institute of Technology (EPFL) and in less than three years has become one of the top 10 healthcare start-ups in Switzerland.
The company brings together an eclectic mix of computer scientists, neuroscientists, physicists and roboticists driven by a passion to enhance the quality of life of brain injury survivors.
In less than three years the MindMaze team has developed and launched medical grade virtual reality products to stimulate neural recovery.
MindMaze is now translating our VR and Neuroscience expertise into new fields of consumer health and technology.",,info@mindmaze.ch,,Switzerland
Light & Shadows,VR Hardware,VR HMD,http://www.light-and-shadows.com/,http://www.vrmeister.com/light-shadows/,"LIGHT & SHADOWS
MAJOR PLAYER OF VIRTUAL REALITY
LIGHT & SHADOWS is a company providing 3D Virtual Reality global solutions : Software, Content, Product, and Solution.
Founded in 2009 and based in greater PARIS, 25% of the company turnover is reinvested into R&D.
LIGHT & SHADOWS workforce increased by 40% every year with 95% engineers, researchers and doctors.
The trademark is innovation, pro-activity, in constant search of quality to satisfy customers demand : PSA Peugeot Citroën, Saint-Gobain, Dassault Aviation, Airbus Group and CEA have trusted the company.
WITH EXPERTISE LIGHT & SHADOWS RESPONDS TO A WIDE SPECTRUM OF VR PROJECTS DEVELOPMENT, PROPOSING NEW AND COMPLETE SOLUTIONS TO THE INDUSTRIAL CHALLENGES OF TOMORROW :
 ",,contact@ls-vr.com,+33 (0) 1 75 60 18 00,"Paris, France"
